neuston	survey	local date	lat_cent	lon_cent	Total item/Km²	nº micro (<5mm)	w micro (g)	nº meso &  macro (> 5mm)	w meso & macro (g)		
1	Bioman2017	20170504	43.4792	-4.9334	7,785	3	0	2	0.000583887		
2	Bioman2017	20170507	43.5000	-3.8967	3,915	1	0.001	3	0.011483112		
3	Bioman2017	20170507	43.6755	-3.5593	17,011	3	0.0011	2	0.000973145		
4	Bioman2017	20170508	43.8757	-2.8709	5,573	4	0.0001	0	0		
6	Bioman2017	20170509	43.6285	-1.9342	3,788	2	0	1	0.000194629		
9	Bioman2017	20170510	43.9992	-2.2782	6,518	4	0.0001	0	0		
10	Bioman2017	20170510	44.3743	-1.2973	0	0	0	0	0		
11	Bioman2017	20170511	44.3695	-3.1882	8,024	3	0	1	0.000194629		
12	Bioman2017	20170513	45.3807	-2.2120	7,264	5	0.0015	1	0.000194629		
15	Bioman2017	20170514	45.6213	-1.3975	2,831	2	0.0001	0	0		
16	Bioman2017	20170514	46.0002	-2.3872	2,347	1	0	1	0.000194629		
18	Bioman2017	20170517	46.1180	-4.2268	893	1	0.0001	0	0		
19	Bioman2017	20170518	46.1202	-2.7257	5,050	3	0.0035	2	0.00583887		
20	Bioman2017	20170518	46.1240	-1.6407	1,222	1	0.0001	0	0		
21	Bioman2017	20170519	46.6185	-4.7517	4,863	2	0.0019	1	0.002919435		
22	Bioman2017	20170519	46.6198	-3.0277	0	0	0	0	0		
23	Bioman2017	20170519	46.6197	-2.2105	3,947	2	0.0001	0	0		
24	Bioman2017	20170520	46.8627	-2.5197	11,912	3	0.0004	1	0.000194629		
25	Bioman2017	20170520	46.8750	-3.3123	42,080	28	0.0103	2	0.000194629		
26	Bioman2017	20170520	46.8695	-5.3503	35,371	4	0.0003	4	0.010509967		
28	Bioman2017	20170521	47.1343	-3.6128	23,470	10	0.0005	6	0.024133998		
29	Bioman2017	20170521	47.1240	-2.7222	1,229	1	0.0001	0	0		
30	Bioman2017	20170522	47.3812	-3.3245	2,435	0	0	1	0.000194629		
31	Bioman2017	20170522	47.3808	-4.1345	1,068	0	0	1	0.005644241		
32	Bioman2017	20170522	47.3678	-6.3460	3,961	3	0.0008	1	0.000778516		
35	Bioman2017	20170524	47.8762	-7.6970	10,841	4	0.0012	3	0.00797979		
36	Bioman2017	20170525	45.7588	-2.4257	3,786	3	0.0001	0	0		
37	Bioman2017	20170525	45.1303	-1.9970	8,093	3	0.0014	4	0.008563677		
38	Bioman2017	20170525	44.8782	-1.7875	15,647	11	0.0009	2	0.000194629		
39	Bioman2017	20170526	44.6273	-1.7100	2,745	2	0.0001	0	0		
40	Bioman2017	20170526	44.3698	-1.6597	14,395	9	0.0016	2	0.007590532		
41	Bioman2017	20170526	44.1340	-1.6550	241,496	123	0.0197	113	0.31588289		
42	Bioman2017	20170526	43.9984	-1.6483	49,033	32	0.0036	11	0.023355482		
43	Bioman2017	20170526	43.7463	-1.6513	50,186	34	0.0053	14	0.031335271		
44	Bioman2017	20170526	43.4315	-1.8305	13,779	7	0.0016	3	0.000973145		
				mean	17,502	9	0.0016	5	0.0131		
				max	241,496	123	0.0197	113	0.3159		
				min	893	1.00000000	0.00010000	0.00000000	0.00019463		
