Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;8;1;51;-2.3541;43.3468;
2022;4;26;8;31;53;-2.354461111;43.3475;
2022;4;26;8;59;56;-2.355188889;43.3478;
2022;4;26;9;39;57;-2.356161111;43.3483;
2022;4;26;10;23;59;-2.356569444;43.3491;
2022;4;26;11;2;5;-2.357061111;43.3496;
2022;4;26;11;31;6;-2.357430556;43.3504;
2022;4;26;12;13;56;-2.357661111;43.3514;
2022;4;26;12;51;11;-2.3579;43.3525;
2022;4;26;13;30;15;-2.3576;43.3526;
2022;4;26;13;56;15;-2.356869444;43.3525;
2022;4;26;14;22;18;-2.356288889;43.3523;
2022;4;26;15;0;21;-2.355711111;43.352;
2022;4;26;15;32;24;-2.355619444;43.3512;
2022;4;26;16;9;24;-2.356119444;43.3498;
2022;4;26;16;49;31;-2.35695;43.3499;
2022;4;26;17;25;31;-2.357919444;43.3491;
2022;4;26;18;1;35;-2.358580556;43.3481;
2022;4;26;18;40;38;-2.359038889;43.3476;
2022;4;26;19;24;41;-2.358411111;43.348;
2022;4;26;20;2;46;-2.3577;43.3486;
2022;4;26;20;50;34;-2.353369444;43.348;
2022;4;26;21;8;49;-2.348688889;43.3466;
2022;4;26;21;24;47;-2.346219444;43.3457;
2022;4;26;21;55;51;-2.3415;43.3429;
2022;4;26;22;39;52;-2.336138889;43.339;
2022;4;26;23;11;56;-2.333388889;43.336;
2022;4;26;23;40;59;-2.332211111;43.3333;
2022;4;27;0;7;4;-2.332080556;43.3307;
2022;4;27;0;43;5;-2.333238889;43.3278;
2022;4;27;1;17;7;-2.335411111;43.3256;
2022;4;27;1;53;10;-2.338561111;43.3231;
2022;4;27;2;38;14;-2.343780556;43.3223;
2022;4;27;3;17;18;-2.347061111;43.3256;
2022;4;27;3;58;17;-2.350469444;43.3289;
2022;4;27;4;40;19;-2.353411111;43.332;
2022;4;27;5;17;11;-2.354488889;43.3345;
2022;4;27;5;44;27;-2.354511111;43.3368;
2022;4;27;6;20;28;-2.353861111;43.3388;
2022;4;27;7;1;34;-2.351980556;43.3401;
2022;4;27;7;46;33;-2.3494;43.3424;
2022;4;27;8;29;36;-2.346069444;43.3434;
2022;4;27;9;2;42;-2.342830556;43.3438;
2022;4;27;9;38;44;-2.33895;43.3435;
2022;4;27;10;22;45;-2.334661111;43.343;
2022;4;27;10;56;48;-2.330669444;43.3419;
2022;4;27;11;27;50;-2.326830556;43.3409;
2022;4;27;11;59;52;-2.322711111;43.34;
2022;4;27;12;38;56;-2.318269444;43.3394;
2022;4;27;13;23;1;-2.313330556;43.3381;
2022;4;27;13;55;59;-2.309469444;43.337;
2022;4;27;14;34;5;-2.305630556;43.3356;
2022;4;27;15;4;5;-2.302838889;43.335;
2022;4;27;15;44;9;-2.3;43.3336;
2022;4;27;16;28;12;-2.296138889;43.3324;
2022;4;27;16;56;13;-2.294469444;43.3314;
2022;4;27;17;41;16;-2.291919444;43.329;
2022;4;27;18;6;18;-2.290430556;43.3268;
2022;4;27;18;45;22;-2.288480556;43.3229;
2022;4;27;19;16;24;-2.287338889;43.3203;
2022;4;27;19;58;27;-2.287669444;43.3165;
2022;4;27;20;43;32;-2.28805;43.3145;
2022;4;27;21;13;33;-2.287561111;43.3147;
2022;4;27;21;49;36;-2.287088889;43.3143;
2022;4;27;22;32;38;-2.286119444;43.3146;
2022;4;27;23;5;42;-2.284511111;43.315;
2022;4;27;23;44;44;-2.2814;43.3157;
2022;4;28;0;14;47;-2.279211111;43.3165;
2022;4;28;0;59;50;-2.275388889;43.3176;
2022;4;28;1;37;52;-2.271361111;43.3181;
2022;4;28;2;4;54;-2.268911111;43.319;
2022;4;28;2;33;1;-2.266980556;43.3195;
2022;4;28;3;9;1;-2.26325;43.3189;
2022;4;28;3;53;7;-2.258888889;43.3194;
2022;4;28;4;27;5;-2.255088889;43.3193;
2022;4;28;5;2;10;-2.250288889;43.3187;
2022;4;28;5;40;16;-2.244411111;43.3198;
2022;4;28;6;10;16;-2.239688889;43.3207;
2022;4;28;6;42;13;-2.2351;43.3232;
2022;4;28;6;56;15;-2.232088889;43.3236;
2022;4;28;7;11;19;-2.229619444;43.3251;
2022;4;28;7;26;19;-2.226919444;43.3259;
2022;4;28;7;41;20;-2.223961111;43.3266;
2022;4;28;7;56;36;-2.22115;43.3273;
2022;4;28;8;11;52;-2.217411111;43.3282;
2022;4;28;8;26;22;-2.214088889;43.3288;
2022;4;28;8;41;23;-2.210719444;43.3292;
2022;4;28;8;56;26;-2.20765;43.3293;
2022;4;28;9;12;23;-2.20525;43.3294;
2022;4;28;9;43;28;-2.201488889;43.3292;
2022;4;28;10;14;29;-2.198830556;43.3294;
2022;4;28;10;43;32;-2.1966;43.3305;
2022;4;28;11;22;36;-2.194480556;43.3317;
2022;4;28;12;1;40;-2.192119444;43.334;
2022;4;28;12;40;43;-2.189838889;43.3371;
