Year;Month;Day;Hour;Minutes;Seconds;Longitude;Latitude;
2022;4;26;12;7;6;-2.357619444;43.5012;
2022;4;26;12;43;6;-2.360988889;43.5033;
2022;4;26;13;28;11;-2.363430556;43.5061;
2022;4;26;14;11;16;-2.364888889;43.5082;
2022;4;26;14;55;19;-2.365338889;43.5109;
2022;4;26;15;21;19;-2.365211111;43.5122;
2022;4;26;15;55;20;-2.364638889;43.5139;
2022;4;26;16;33;22;-2.3632;43.515;
2022;4;26;17;13;24;-2.363180556;43.5153;
2022;4;26;17;43;26;-2.364080556;43.5152;
2022;4;26;18;20;30;-2.365338889;43.5151;
2022;4;26;18;47;33;-2.365861111;43.5145;
2022;4;26;19;19;34;-2.368480556;43.5129;
2022;4;26;19;58;38;-2.37335;43.5099;
2022;4;26;20;43;40;-2.369361111;43.5076;
2022;4;26;21;13;43;-2.365319444;43.506;
2022;4;26;21;49;47;-2.36155;43.5044;
2022;4;26;22;22;51;-2.358611111;43.5021;
2022;4;26;23;1;52;-2.355819444;43.4998;
2022;4;26;23;1;52;-2.355819444;43.4998;
2022;4;26;23;34;55;-2.35425;43.4975;
2022;4;27;0;0;58;-2.353219444;43.4961;
2022;4;27;0;36;59;-2.352080556;43.4942;
2022;4;27;1;13;59;-2.35135;43.4922;
2022;4;27;1;40;1;-2.351219444;43.4909;
2022;4;27;2;7;3;-2.351119444;43.4895;
2022;4;27;2;40;6;-2.352038889;43.4874;
2022;4;27;3;9;11;-2.353088889;43.4858;
2022;4;27;3;54;13;-2.3553;43.4843;
2022;4;27;4;36;14;-2.358711111;43.485;
2022;4;27;5;18;20;-2.36215;43.4848;
2022;4;27;5;55;23;-2.365;43.4843;
2022;4;27;6;21;27;-2.366819444;43.4844;
2022;4;27;6;53;29;-2.3688;43.4841;
2022;4;27;7;34;31;-2.368611111;43.4834;
2022;4;27;8;1;32;-2.368561111;43.4833;
2022;4;27;8;29;31;-2.368411111;43.4839;
2022;4;27;9;8;51;-2.36745;43.4849;
2022;4;27;9;44;37;-2.366869444;43.4856;
2022;4;27;10;15;39;-2.365669444;43.4854;
2022;4;27;10;56;31;-2.364661111;43.4852;
2022;4;27;11;14;42;-2.363780556;43.4849;
2022;4;27;11;55;50;-2.363480556;43.4841;
2022;4;27;12;25;49;-2.363280556;43.4833;
2022;4;27;12;51;53;-2.363969444;43.4825;
2022;4;27;13;36;58;-2.365238889;43.4826;
2022;4;27;14;17;1;-2.366030556;43.4817;
2022;4;27;14;55;3;-2.365561111;43.4824;
2022;4;27;15;25;5;-2.365088889;43.4829;
2022;4;27;16;8;8;-2.364288889;43.4832;
2022;4;27;16;37;7;-2.364161111;43.4839;
2022;4;27;17;4;24;-2.3632;43.4832;
2022;4;27;17;34;11;-2.362230556;43.4828;
2022;4;27;18;15;12;-2.36125;43.4822;
2022;4;27;19;0;17;-2.360669444;43.4814;
2022;4;27;19;30;18;-2.360411111;43.4811;
2022;4;27;20;12;40;-2.360111111;43.4797;
2022;4;27;20;14;38;-2.359719444;43.4824;
2022;4;27;20;29;40;-2.36045;43.4793;
2022;4;27;20;52;13;-2.36105;43.4787;
2022;4;27;21;13;34;-2.361780556;43.4784;
2022;4;27;21;52;32;-2.364511111;43.4785;
2022;4;27;22;19;34;-2.36635;43.4782;
2022;4;27;22;46;35;-2.368388889;43.4781;
2022;4;27;23;16;37;-2.3709;43.4783;
2022;4;27;23;55;43;-2.374330556;43.479;
2022;4;28;0;21;43;-2.376238889;43.4799;
2022;4;28;1;1;44;-2.377980556;43.482;
2022;4;28;1;27;48;-2.378180556;43.4836;
2022;4;28;2;11;51;-2.3762;43.4871;
2022;4;28;2;48;8;-2.374661111;43.489;
2022;4;28;3;27;10;-2.3721;43.4919;
2022;4;28;4;9;1;-2.369980556;43.4941;
2022;4;28;4;47;16;-2.367488889;43.4955;
2022;4;28;5;32;3;-2.364269444;43.4965;
2022;4;28;6;9;6;-2.3615;43.4963;
2022;4;28;6;35;10;-2.359638889;43.4957;
2022;4;28;7;16;14;-2.3564;43.4941;
2022;4;28;7;56;13;-2.353369444;43.492;
2022;4;28;8;24;30;-2.351869444;43.4896;
2022;4;28;8;57;20;-2.350519444;43.4862;
2022;4;28;9;35;20;-2.348888889;43.4823;
2022;4;28;10;7;25;-2.348688889;43.4789;
2022;4;28;10;40;25;-2.348969444;43.4757;
2022;4;28;11;25;29;-2.349619444;43.472;
2022;4;28;12;1;32;-2.351519444;43.4694;
2022;4;28;12;46;37;-2.353711111;43.4669;
2022;4;28;13;22;40;-2.355969444;43.4659;
2022;4;28;13;52;43;-2.358761111;43.4631;
